gt_type,scram_cond,stim_num,run,subject,lag,kappa
periodic,2B,1,1,35,-1,-0.07804878048780495
periodic,2B,1,1,36,-1,0.10526315789473684
periodic,2B,1,1,37,-1,-0.09285714285714297
periodic,2B,1,1,38,-1,-0.09285714285714297
periodic,2B,1,1,39,-1,-0.020000000000000018
periodic,2B,1,1,40,-1,-0.04615384615384621
periodic,2B,1,1,41,-1,-0.04615384615384621
periodic,2B,1,1,42,-1,-0.08799999999999986
periodic,2B,1,1,0,0,0.007290400972053468
periodic,2B,1,1,1,0,-0.08078994614003587
periodic,2B,1,1,2,0,0.17983651226158026
periodic,2B,1,1,3,0,-0.03436426116838498
periodic,2B,1,1,4,0,-0.08941877794336794
periodic,2B,1,1,5,0,-0.0677200902934536
periodic,2B,1,1,6,0,-0.07276507276507282
periodic,2B,1,1,7,0,-0.08403361344537807
periodic,2B,1,1,8,0,-0.061728395061728225
periodic,2B,1,1,9,0,-0.0455927051671734
periodic,2B,1,1,10,0,-0.09167842031029627
periodic,2B,1,1,11,0,0.0
periodic,2B,1,1,12,0,0.0
periodic,2B,1,1,13,0,-0.01976284584980248
periodic,2B,1,1,14,0,-0.009605122732123883
periodic,2B,1,1,15,0,0.06050420168067239
periodic,2B,1,1,16,0,-0.0455927051671734
periodic,2B,1,1,17,0,-0.061728395061728225
periodic,2B,1,1,18,0,-0.08688783570300163
periodic,2B,1,1,19,0,-0.07707129094412335
periodic,2B,1,1,20,0,0.07360861759425497
periodic,2B,1,1,21,0,-0.07276507276507282
periodic,2B,1,1,22,0,0.0
periodic,2B,1,1,23,0,0.048973143759873605
periodic,2B,1,1,24,0,-0.07707129094412335
periodic,2B,1,1,25,0,-0.03436426116838498
periodic,2B,1,1,26,0,0.0
periodic,2B,1,1,27,0,-0.07707129094412335
periodic,2B,1,1,28,0,-0.08688783570300163
periodic,2B,1,1,29,0,-0.061728395061728225
periodic,2B,1,1,30,0,-0.05449591280653965
periodic,2B,1,1,31,0,-0.0455927051671734
periodic,2B,1,1,32,0,-0.03436426116838498
periodic,2B,1,1,33,0,-0.09167842031029627
