gt_type,scram_cond,stim_num,run,lag,kappa
periodic,2B,1,1,-1,-0.09285714285714297
periodic,2B,1,1,-1,-0.09285714285714297
periodic,2B,1,1,-1,-0.020000000000000018
periodic,2B,1,1,-1,-0.04615384615384621
periodic,2B,1,1,-1,-0.04615384615384621
periodic,2B,1,1,-1,-0.08799999999999986
periodic,2B,1,1,0,0.007290400972053468
periodic,2B,1,1,0,-0.08078994614003587
periodic,2B,1,1,0,0.17983651226158026
periodic,2B,1,1,0,-0.03436426116838498
periodic,2B,1,1,0,-0.08941877794336794
periodic,2B,1,1,0,-0.0677200902934536
periodic,2B,1,1,0,-0.07276507276507282
periodic,2B,1,1,0,-0.08403361344537807
periodic,2B,1,1,0,-0.061728395061728225
periodic,2B,1,1,0,-0.0455927051671734
periodic,2B,1,1,0,-0.09167842031029627
periodic,2B,1,1,0,0.0
periodic,2B,1,1,0,0.0
periodic,2B,1,1,0,-0.01976284584980248
periodic,2B,1,1,0,-0.009605122732123883
periodic,2B,1,1,0,0.06050420168067239
periodic,2B,1,1,0,-0.0455927051671734
periodic,2B,1,1,0,-0.061728395061728225
periodic,2B,1,1,0,-0.08688783570300163
periodic,2B,1,1,0,-0.07707129094412335
periodic,2B,1,1,0,0.07360861759425497
periodic,2B,1,1,0,-0.07276507276507282
periodic,2B,1,1,0,0.0
periodic,2B,1,1,0,0.048973143759873605
periodic,2B,1,1,0,-0.07707129094412335
periodic,2B,1,1,0,-0.03436426116838498
periodic,2B,1,1,0,0.0
periodic,2B,1,1,0,-0.07707129094412335
periodic,2B,1,1,0,-0.08688783570300163
periodic,2B,1,1,0,-0.061728395061728225
periodic,2B,1,1,0,-0.05449591280653965
periodic,2B,1,1,0,-0.0455927051671734
periodic,2B,1,1,0,-0.03436426116838498
periodic,2B,1,1,0,-0.09167842031029627
periodic,2B,1,1,0,-0.05449591280653965
periodic,2B,1,1,0,-0.07707129094412335
periodic,2B,1,1,0,-0.07276507276507282
periodic,2B,1,1,0,0.02961918194640334
periodic,2B,1,1,0,-0.09167842031029627
periodic,2B,1,1,0,-0.01976284584980248
