exp_subject_id,scram_cond,stim_num,run,response_vals
377678,8B,1,1,16914;22096;28376;34948;42257;48916;54997;64084;70027;82414
377678,8B,1,2,16182;21809;28820;34932;47217;63247;69149
377678,1B,3,1,5156;11670;17146;32573;41243;47629;56696;62772;70055;76878
377678,1B,3,2,5891;12156;16616;30242;35740;46236;57366;62532;70502
377678,2B,2,1,6563;9908;18219;24511;32626;37515;45246;50258;64457;79110
377678,2B,2,2,6366;9417;18652;24645;32974;40572;44218;61787;66164
377678,intact,1,1,6264;16501;18764;34579;46410;51078;64019;71578
377678,intact,1,2,18241;30076;35322;42165;58175;63372;67035;74197
377678,1B,1,1,3658;14820;20168;32553;42901;48667;56970;65194;74198;80211
377678,1B,1,2,3417;5694;14569;20530;25005;30900;35813;42973;49015;56994;64270;75702;80221
377678,2B,3,1,8226;14957;21916;28886;36695;45885;56301;61913;72535;78193
377678,2B,3,2,7996;19063;27666;32619;41771;53569;61025;70240
377678,1B,2,1,8143;14048;20674;28139;34392;41854;45517;54071;60148;66733;70403;73867;77977
377678,1B,2,2,8216;14954;21131;30211;32393;34985;42660;47301;54252;55858;66204;70168;77130
377678,8B,3,1,12677;18355;30861;46981;61481
377678,8B,3,2,12509;18235;35899;46219;74213
377678,intact,2,1,10273;21290;24943;29918;36167;44979;49445;66134
377678,intact,2,2,10368;13700;23410;32633;48288;65250
377672,2B,1,1,
377672,2B,1,2,58389
377672,intact,3,1,
377672,intact,3,2,38423;55741
377672,8B,2,1,
377672,8B,2,2,19759;47054
377672,1B,3,1,
377672,1B,3,2,9815;36531;43500;80585
377672,2B,2,1,
377672,2B,2,2,19612;49927;67082
377672,8B,1,1,
377672,8B,1,2,47707;70470;80923
377672,1B,1,1,
377672,1B,1,2,46121;70193
377672,intact,1,1,
377672,intact,1,2,37001;73671
377672,2B,3,1,
377672,2B,3,2,10018;56056
377672,intact,2,1,
377672,intact,2,2,24337;38939;57586;57665
377672,1B,2,1,
377672,1B,2,2,26417;37120;56085;73065
377672,8B,3,1,
377672,8B,3,2,9671;35691;67811
377665,8B,1,1,
377665,8B,1,2,19258;35520;46157;68606
377665,1B,3,1,
377665,1B,3,2,4467;8011;11411;13707;16555;22595;30609;34578;44648;47184;49080;56761;62647;69853;79035
377665,2B,3,1,
377665,2B,3,2,4697;18715;24866;35912;45088;53553;56601;63141;66086;76955;81180
377665,2B,2,1,
377665,2B,2,2,4840;11208;13792;17473;28306;38051;40602;45575;49825;53458;66738;68834
377665,intact,2,1,
377665,intact,2,2,11658;32769;42269
377665,1B,2,1,
377665,1B,2,2,4883;10627;14667;25392;31356;33284;38645;44773;54593;57506;60834;64881;74681
377665,1B,1,1,
377665,1B,1,2,4611;12034;15098;21543;29380;33052;38644;42596;45412;48731;54869;59942;69387;71027;74910;79369
377665,8B,3,1,
377665,8B,3,2,13228;32714;49004;61421
377665,intact,1,1,
377665,intact,1,2,16074;31657;34873;66988;77242
377665,8B,2,1,3231;39437
377665,8B,2,2,16958;32550;49549;65637
377665,2B,1,1,
377665,2B,1,2,9038;14085;44867;52969;60907
377665,intact,3,1,
377665,intact,3,2,18168;50643
377664,intact,3,1,50840
377664,intact,3,2,18652;50966
377664,2B,2,1,45135;65878
377664,2B,2,2,44530;65331
377664,8B,3,1,49793
377664,8B,3,2,18481;34436;67680
377664,intact,1,1,36923;67372
377664,intact,1,2,35096
377664,8B,2,1,28442;50985;78409
377664,8B,2,2,27764;42204;78895
377664,1B,3,1,15809;53841
377664,1B,3,2,47227;69060
377664,2B,1,1,57497
377664,2B,1,2,42949;56915
377664,1B,2,1,23393;73392
377664,1B,2,2,17426;45480
377664,8B,1,1,38370;60261;74943
377664,8B,1,2,48356;69355
377664,2B,3,1,20666;26958;76773
377664,2B,3,2,9476;21678
377664,intact,2,1,11298;50584
377664,intact,2,2,36456
377664,1B,1,1,16033;33805;43028;60397
377664,1B,1,2,6513;16486;70625
377663,8B,3,1,14851;19081;28972;29498;30406;46108;66391;72120;74309
377663,8B,3,2,14733;18210;28159;30501;44655;46448;66175;74580
377663,intact,3,1,15720;20799;24102;30248;32087;40095;46451;48450;57037;60479;64366;72342;78465;80365
377663,intact,3,2,14010;16089;20182;30579;32454;46421;48419;56224;60775;62463;64437;66621;78352;80162
377663,2B,2,1,3722;4696;6832;12456;16468;20921;23172;24733;26385;30661;32384;37132;40058;42567;54555;68403
377663,2B,2,2,4554;7061;12153;14129;16651;24666;26379;29020;36275;42397;53725;60922;62618;70508
377663,1B,3,1,2850;6775;12109;14809;22131;30255;32540;52936;54280;59222;60260;66596;70917;72494;76082
377663,1B,3,2,6780;12090;14831;18196;22043;28128;32375;44520;52532;54177;60145;65743;70499;75826;79690
377663,8B,2,1,14230;18256;22114;26195;28185;29044;30847;33436;54079;59110;62654;66304;66465;70130;76381;78228
377663,8B,2,2,6829;14145;18040;22094;28178;29107;30617;40859;41599;54132;59090;62080;66753;70126;76226;76344;78447
377663,intact,1,1,4345;6588;13156;16369;20374;24952;30523;32156;37136;40534;42570;46416;48141;52073;56890;64180;72996;73084
377663,intact,1,2,4113;9098;15117;16148;20046;25324;30122;32167;36518;40428;42206;44641;46498;48407;50453;56220;60722;62783;63580;64664;67052;69210;73129;78783
377663,2B,1,1,5708;8652;12362;14501;16691;20588;22819;28289;30279;35453;40251;43995;47149;52373;54416;60213;68338;72758;74495
377663,2B,1,2,4960;8189;12860;16376;22123;28474;33516;36835;38756;43405;47503;53551;54434;59163;67136;72711
377663,1B,2,1,931;5337;8188;11102;12775;14967;16958;18784;22475;24412;27403;31766;32711;37188;39430;42531;48324;51962;55462;59616;63153;68577;71630
377663,1B,2,2,840;4430;10349;12502;16439;20219;22953;26482;30567;33882;37308;40035;42456;44611;46480;50652;51560;54281;60174;67543;71645;73730;74645;78517
377663,8B,1,1,5430;10373;13733;17716;20151;23993;28218;32130;41080;42858;43428;45633;50101;52294;54296;61227;62744;64624;70442;74461;80982;82868
377663,8B,1,2,4313;8399;15081;16627;20407;24421;28464;33015;34718;44087;45716;50149;51993;54398;56214;61250;64236;68509;72775;79177;80785;82285;83746
377663,1B,1,1,5866;10512;14512;17818;21129;22858;25978;26963;29010;31595;35074;37002;38795;44471;46697;50149;54540;55513;58922;61662;66161;69329;72698;75550
377663,1B,1,2,4681;8317;14116;18403;22740;27038;28690;32375;35028;37257;40250;46458;51602;54511;56059;60016;67991;71236;72790;79425
377663,intact,2,1,6525;10482;16454;21039;24829;31837;34508;37617;44480;49400;53424;62774;65964;70077;73811;77464
377663,intact,2,2,6553;12008;15489;23015;25280;30757;39137;43336;47435;53315;61486;65858;73083
377663,2B,3,1,3536;6043;12179;20784;26315;31274;33555;36938;39105;43092;46459;48787;50732;53698;60508;63818;67334;72066;75510;78703
377663,2B,3,2,4059;8677;12821;17305;23768;27080;30984;34819;38013;40683;48613;51639;53539;56954;59905;62985;66509;70547;72990;76438
377650,intact,3,1,22677;35877;50972;62330
377650,intact,3,2,18575;35190;50996;61543
377650,8B,3,1,23837;32966;61114
377650,8B,3,2,61001;70664
377650,2B,2,1,4645;8969;11091;12621;24598;26566;48746;65287;69117
377650,2B,2,2,4549;8873;11338;12606;16991;24618;38164;48091;53157;64668;73515
377650,1B,3,1,5245;7245;9172;11389;12719;14547;19530;20912;22780;25591;28621;37070;42266;46984;52817;58130;69401;70765;78606
377650,1B,3,2,6070;7201;11262;12839;15179;20687;22668;34602;41284;52198;57133;67927;69451;70913
377650,8B,2,1,17177;24656;34063;51083;64913
377650,8B,2,2,16813;32717;50200;76873
377650,intact,1,1,35154;44802;67400
377650,intact,1,2,34974;42750
377650,1B,2,1,3095;13266;15365;18753;22913;24977;28840;34648;43148;49038;55761;59805;66375;71128;77086;79002
377650,1B,2,2,2998;10155;13653;15076;22076;30707;43500;50704;56268;61086;69214;76036;77970
377650,8B,1,1,29349;37018;43514
377650,8B,1,2,21498;34976;43052;67259
377650,2B,1,1,4636;13063;17108;21417;25397;28335;34462;37741;64604;72694
377650,2B,1,2,4598;12410;20214;28430;37400;64752;68950;72793
377650,2B,3,1,4953;12020;18872;25700;32620;35409;45171;46944;51086;53275;56630;63149;72806
377650,2B,3,2,5474;10025;13544;22021;29617;33170;35300;44938;50931;53419;56823;63316;73335
377650,1B,1,1,4916;13061;16158;23061;28068;33111;38972;45450;47586;52530;59690;65486;75660
377650,1B,1,2,4695;13317;15610;21246;27090;31690;33969;39339;43067;46925;60128;65483;79162
377650,intact,2,1,8608;19303;41054;49193;67062
