exp_subject_id,Task_Name,space_press1,space_press2
377701,intact_3,"""times=1645557618779;1645557632551;1645557637000;1645557649725;1645557654121;1645557658892;1645557665321;1645557671909;1645557680542;1645557684885;1645557692690---values=;13762;18211;30936;35332;40102;46532;53120;61753;66096;73901""","""times=1645557618780;1645557710768;1645557722275;1645557730982;1645557736009;1645557743468;1645557746541;1645557746963;1645557757480;1645557765773;1645557772938;1645557778525;1645557783624---values=;5602;17109;25816;30843;38302;41375;41797;52314;60607;67772;73359;78458"""
377701,2B_1,"""times=1645557432092;1645557440465;1645557445413;1645557469285;1645557478623;1645557497180;1645557505024---values=;8368;13316;37188;46526;65083;72927""","""times=1645557432092;1645557533842;1645557550516;1645557561543;1645557572470;1645557591269---values=;18351;35024;46052;56979;75778"""
377701,practice_task,"""times=1645557291282;1645557292839;1645557298836;1645557302035;1645557304208;1645557307742;1645557309576;1645557314041;1645557317205;1645557320154;1645557323087;1645557325095;1645557340220---values=11197;12754;18751;21950;24123;27657;29491;33956;37120;40069;43002;45010;60135""","""times=1645557350617;1645557356269;1645557361516;1645557364618;1645557369114;1645557373828;1645557378180;1645557383907;1645557388899;1645557392339;1645557397251;1645557404556---values=5070;10722;15968;19071;23567;28281;32633;38360;43352;46791;51704;59009"""
377696,8B_2,"""times=1645559935695;1645559968514;1645559988052;1645560002143---values=;32814;52352;66443""","""times=1645559935695;1645560036091;1645560051701;1645560077798;1645560085708---values=;16895;32505;58602;66512"""
377696,intact_3,"""times=1645559757614;1645559776365;1645559808650;1645559828274---values=;18742;51027;70651""","""times=1645559757614;1645559860679;1645559880412;1645559895000---values=;16610;36343;50930"""
377696,2B_1,"""times=1645559586397;1645559596024;1645559612274;1645559615684;1645559626024;1645559645022;1645559652469;1645559660015---values=;9624;25874;29284;39624;58622;66069;73615""","""times=1645559586397;1645559693331;1645559701073;1645559727294;1645559736712;1645559744789---values=;23439;31181;57402;66820;74897"""
377696,8B_1,"""times=1645559322672;1645559341276;1645559357702;1645559365739;1645559392459;1645559396986;1645559406821---values=;18601;35027;43064;69784;74311;84146""","""times=1645559322672;1645559427133;1645559449769;1645559458021;1645559480366---values=;16482;39118;47370;69715"""
377696,1B_3,"""times=1645559149493;1645559158138;1645559166433;1645559177901;1645559192551;1645559197249;1645559219423---values=;8642;16937;28405;43055;47753;69927""","""times=1645559149493;1645559241091;1645559249374;1645559258916;1645559269721;1645559301394---values=;6633;14916;24458;35263;66936"""
377696,2B_2,"""times=1645558978430;1645558986850;1645558993703;1645559005743;1645559019766;1645559028874;1645559036609;1645559044286---values=;8414;15267;27307;41330;50438;58173;65850""","""times=1645558978430;1645559069355;1645559078314;1645559088400;1645559106667;1645559122569;1645559129252---values=;7421;16381;26467;44734;60636;67319"""
377696,intact_1,"""times=1645558710216;1645558727626;1645558743708;1645558748723;1645558768085;1645558777724---values=;17397;33479;38494;57856;67495""","""times=1645558710216;1645558811974;1645558827587;1645558848086;1645558858744---values=;19750;35363;55862;66520"""
